Year,Month,WD_Count
1950,1,12
1950,2,12
1950,3,11
1950,4,10
1950,5,6
1950,6,4
1950,7,1
1950,8,1
1950,9,3
1950,10,8
1950,11,14
1950,12,13
1951,1,12
1951,2,11
1951,3,12
1951,4,12
1951,5,7
1951,6,3
1951,7,1
1951,9,3
1951,10,8
1951,11,6
1951,12,10
1952,1,13
1952,2,13
1952,3,12
1952,4,8
1952,5,6
1952,6,2
1952,7,2
1952,8,2
1952,9,2
1952,10,11
1952,11,7
1952,12,18
1953,1,16
1953,2,13
1953,3,10
1953,4,4
1953,5,8
1953,6,4
1953,7,3
1953,8,1
1953,9,5
1953,10,8
1953,11,7
1953,12,11
1954,1,11
1954,2,12
1954,3,8
1954,4,5
1954,5,5
1954,6,2
1954,7,1
1954,8,2
1954,9,1
1954,10,7
1954,11,10
1954,12,15
1955,1,13
1955,2,11
1955,3,11
1955,4,7
1955,5,9
1955,6,3
1955,7,2
1955,9,1
1955,10,8
1955,11,4
1955,12,11
1956,1,15
1956,2,16
1956,3,12
1956,4,5
1956,5,4
1956,6,2
1956,8,2
1956,9,2
1956,10,8
1956,11,12
1956,12,14
1957,1,11
1957,2,13
1957,3,12
1957,4,10
1957,5,9
1957,6,4
1957,7,2
1957,8,1
1957,9,4
1957,10,6
1957,11,8
1957,12,13
1958,1,10
1958,2,14
1958,3,11
1958,4,6
1958,5,7
1958,6,3
1958,7,2
1958,8,1
1958,9,2
1958,10,5
1958,11,5
1958,12,9
1959,1,13
1959,2,12
1959,3,10
1959,4,9
1959,5,8
1959,6,2
1959,7,2
1959,9,1
1959,10,5
1959,11,6
1959,12,7
1960,1,9
1960,2,7
1960,3,13
1960,4,9
1960,5,6
1960,6,3
1960,9,2
1960,10,10
1960,11,8
1960,12,10
1961,1,12
1961,2,13
1961,3,10
1961,4,13
1961,5,5
1961,6,1
1961,8,2
1961,10,4
1961,11,10
1961,12,16
1962,1,8
1962,2,9
1962,3,8
1962,4,4
1962,5,9
1962,6,1
1962,7,2
1962,8,2
1962,9,2
1962,10,6
1962,11,10
1962,12,15
1963,1,10
1963,2,9
1963,3,10
1963,4,8
1963,5,7
1963,6,1
1963,9,5
1963,10,4
1963,11,12
1963,12,9
1964,1,12
1964,2,8
1964,3,13
1964,4,6
1964,5,11
1964,6,4
1964,7,2
1964,9,1
1964,10,3
1964,11,8
1964,12,8
1965,1,7
1965,2,11
1965,3,10
1965,4,5
1965,5,6
1965,6,2
1965,7,1
1965,8,3
1965,9,3
1965,10,10
1965,11,8
1965,12,15
1966,1,12
1966,2,11
1966,3,11
1966,4,13
1966,5,6
1966,6,2
1966,7,3
1966,8,1
1966,9,3
1966,10,10
1966,11,12
1966,12,9
1967,1,12
1967,2,10
1967,3,13
1967,4,8
1967,5,11
1967,6,3
1967,8,1
1967,9,1
1967,10,11
1967,11,10
1967,12,11
1968,1,11
1968,2,13
1968,3,12
1968,4,4
1968,5,8
1968,7,1
1968,8,1
1968,9,3
1968,10,8
1968,11,6
1968,12,9
1969,1,9
1969,2,6
1969,3,7
1969,4,9
1969,5,7
1969,6,2
1969,7,2
1969,9,3
1969,10,2
1969,11,8
1969,12,10
1970,1,14
1970,2,16
1970,3,11
1970,4,7
1970,5,4
1970,6,1
1970,7,1
1970,9,3
1970,10,5
1970,11,7
1970,12,10
1971,1,13
1971,2,11
1971,3,12
1971,4,7
1971,5,6
1971,8,1
1971,9,2
1971,10,4
1971,11,7
1971,12,8
1972,1,8
1972,2,12
1972,3,9
1972,4,10
1972,5,8
1972,6,3
1972,7,3
1972,9,3
1972,10,3
1972,11,9
1972,12,4
1973,1,12
1973,2,13
1973,3,11
1973,4,4
1973,5,4
1973,6,1
1973,7,1
1973,8,1
1973,10,11
1973,11,9
1973,12,11
1974,1,13
1974,2,12
1974,3,8
1974,4,8
1974,5,6
1974,6,4
1974,7,2
1974,9,2
1974,10,7
1974,11,11
1974,12,12
1975,1,12
1975,2,11
1975,3,12
1975,4,10
1975,5,6
1975,6,4
1975,7,2
1975,8,1
1975,9,4
1975,10,8
1975,11,11
1975,12,9
1976,1,12
1976,2,10
1976,3,12
1976,4,5
1976,5,6
1976,6,4
1976,8,1
1976,9,3
1976,10,1
1976,11,8
1976,12,8
1977,1,11
1977,2,11
1977,3,12
1977,4,5
1977,5,10
1977,6,2
1977,8,1
1977,9,2
1977,10,5
1977,11,11
1977,12,9
1978,1,15
1978,2,8
1978,3,14
1978,4,6
1978,5,3
1978,6,1
1978,9,5
1978,10,3
1978,11,15
1978,12,7
1979,1,12
1979,2,13
1979,3,9
1979,4,8
1979,5,5
1979,6,5
1979,7,2
1979,8,1
1979,9,4
1979,10,9
1979,11,10
1979,12,14
1980,1,12
1980,2,10
1980,3,15
1980,4,8
1980,5,7
1980,6,3
1980,8,2
1980,9,2
1980,10,6
1980,11,9
1980,12,12
1981,1,12
1981,2,12
1981,3,11
1981,4,8
1981,5,4
1981,6,5
1981,7,2
1981,8,2
1981,9,2
1981,10,10
1981,11,10
1981,12,10
1982,1,14
1982,2,11
1982,3,12
1982,4,10
1982,5,6
1982,6,6
1982,8,1
1982,9,3
1982,10,2
1982,11,14
1982,12,11
1983,1,15
1983,2,13
1983,3,7
1983,4,13
1983,5,7
1983,6,4
1983,7,3
1983,9,1
1983,10,10
1983,11,11
1983,12,13
1984,1,16
1984,2,11
1984,3,8
1984,4,10
1984,5,2
1984,6,2
1984,7,1
1984,8,2
1984,9,3
1984,10,14
1984,11,8
1984,12,12
1985,1,13
1985,2,10
1985,3,7
1985,4,7
1985,5,3
1985,6,4
1985,7,2
1985,8,1
1985,9,1
1985,10,8
1985,11,6
1985,12,10
1986,1,16
1986,2,15
1986,3,10
1986,4,7
1986,5,10
1986,6,4
1986,7,1
1986,9,3
1986,10,7
1986,11,7
1986,12,14
1987,1,11
1987,2,10
1987,3,8
1987,4,9
1987,5,8
1987,6,6
1987,7,2
1987,9,3
1987,10,8
1987,11,8
1987,12,7
1988,1,11
1988,2,7
1988,3,13
1988,4,8
1988,5,4
1988,6,3
1988,8,3
1988,9,4
1988,10,8
1988,11,8
1988,12,12
1989,1,16
1989,2,14
1989,3,11
1989,4,10
1989,5,8
1989,6,2
1989,7,1
1989,8,4
1989,9,2
1989,10,8
1989,11,8
1989,12,12
1990,1,8
1990,2,10
1990,3,18
1990,4,11
1990,5,4
1990,6,2
1990,7,1
1990,9,1
1990,10,13
1990,11,15
1990,12,9
1991,1,12
1991,2,12
1991,3,10
1991,4,8
1991,5,9
1991,6,2
1991,7,1
1991,8,2
1991,9,2
1991,10,7
1991,11,8
1991,12,9
1992,1,15
1992,2,10
1992,3,11
1992,4,8
1992,5,4
1992,6,3
1992,9,2
1992,10,9
1992,11,10
1992,12,10
1993,1,16
1993,2,8
1993,3,13
1993,4,7
1993,5,4
1993,6,2
1993,7,3
1993,9,4
1993,10,7
1993,11,6
1993,12,10
1994,1,12
1994,2,10
1994,3,10
1994,4,15
1994,5,6
1994,6,2
1994,8,1
1994,9,4
1994,10,11
1994,11,10
1994,12,15
1995,1,15
1995,2,16
1995,3,13
1995,4,12
1995,5,5
1995,6,1
1995,9,6
1995,10,8
1995,11,7
1995,12,14
1996,1,12
1996,2,8
